Bcru_last CTP1 CTP2 CTP3 CTP4 BDp1/BDlast BDp2/BDlast BDp3/BDlast BDp4/BDlast 
143.35 55.413 55.413 55.413 55.413 0.400585 0.400585 0.400585 0.400585
143.35 55.413 55.413 55.413 55.413 0.400585 0.400585 0.400585 0.400585
143.351 55.4133 55.4133 55.4133 55.4133 0.400585 0.400585 0.400585 0.400585
143.358 55.416 55.416 55.416 55.416 0.400585 0.400585 0.400585 0.400585
143.429 55.4433 55.4433 55.4433 55.4433 0.400585 0.400585 0.400585 0.400585
144.137 55.7174 55.7174 55.7174 55.7174 0.400585 0.400585 0.400585 0.400585
151.422 58.5332 58.5332 58.5332 58.5332 0.400585 0.400585 0.400585 0.400585
247.916 95.8337 95.8337 95.8337 95.8337 0.400585 0.400585 0.400585 0.400585
771.37 298.178 298.178 298.178 298.178 0.400585 0.400585 0.400585 0.400585
9114 3523.08 3523.08 3523.08 3523.08 0.400585 0.400585 0.400585 0.400585
496191 191806 191806 191806 191806 0.400585 0.400585 0.400585 0.400585
496191 191806 191806 191806 191806 0.400585 0.400585 0.400585 0.400585
496191 191806 191806 191806 191806 0.400585 0.400585 0.400585 0.400585
496190 191806 191806 191806 191806 0.400585 0.400585 0.400585 0.400585
496185 191803 191803 191803 191803 0.400589 0.400589 0.400589 0.400589
496136 191776 191776 191776 191776 0.400622 0.400622 0.400622 0.400622
495656 191513 191513 191513 191513 0.400943 0.400943 0.400943 0.400943
491557 189231 189231 189231 189231 0.403564 0.403564 0.403564 0.403564
487633 187727 187727 187727 187727 0.40484 0.40484 0.40484 0.40484
620619 250322 250322 250322 250322 0.315329 0.315329 0.315329 0.315329
534131 209286 209286 209286 209286 0.368663 0.368663 0.368663 0.368663
573689 208765 208765 208765 208765 0.42121 0.42121 0.42121 0.42121
551937 208085 208085 208085 208085 0.395578 0.395578 0.395578 0.395578
516575 177657 177657 177657 177657 0.47783 0.47783 0.47783 0.47783
536443 196351 196351 196351 196351 0.42154 0.42154 0.42154 0.42154
476506 169092 169092 169092 169092 0.458446 0.458446 0.458446 0.458446
429264 150226 150226 150226 150226 0.480178 0.480178 0.480178 0.480178
346134 132947 132947 132947 132947 0.412188 0.412188 0.412188 0.412188
280762 123886 123886 123886 123886 0.285467 0.285467 0.285467 0.285467
307477 127348 127348 127348 127348 0.34463 0.34463 0.34463 0.34463
280944 124193 124193 124193 124193 0.277698 0.277698 0.277698 0.277698
241195 110175 110175 110175 110175 0.245854 0.245854 0.245854 0.245854
258497 116257 116257 116257 116257 0.261809 0.261809 0.261809 0.261809
255693 116742 116742 116742 116742 0.237423 0.237423 0.237423 0.237423
260092 119740 119740 119740 119740 0.215986 0.215986 0.215986 0.215986
254756 116581 116581 116581 116581 0.231298 0.231298 0.231298 0.231298
260940 119352 119352 119352 119352 0.223767 0.223767 0.223767 0.223767
255837 116666 116666 116666 116666 0.225581 0.225581 0.225581 0.225581
251755 115000 115000 115000 115000 0.224134 0.224134 0.224134 0.224134
253264 116059 116059 116059 116059 0.220007 0.220007 0.220007 0.220007
251960 115644 115644 115644 115644 0.218008 0.218008 0.218008 0.218008
248084 113395 113395 113395 113395 0.219342 0.219342 0.219342 0.219342
250200 114641 114641 114641 114641 0.21871 0.21871 0.21871 0.21871
247595 113073 113073 113073 113073 0.220214 0.220214 0.220214 0.220214
249137 114016 114016 114016 114016 0.219346 0.219346 0.219346 0.219346
249875 114535 114535 114535 114535 0.217621 0.217621 0.217621 0.217621
251809 115429 115429 115429 115429 0.216278 0.216278 0.216278 0.216278
251922 115406 115406 115406 115406 0.216565 0.216565 0.216565 0.216565
251859 115414 115414 115414 115414 0.216426 0.216426 0.216426 0.216426
251599 115276 115276 115276 115276 0.216716 0.216716 0.216716 0.216716
251571 115311 115311 115311 115311 0.216614 0.216614 0.216614 0.216614
251394 115215 115215 115215 115215 0.21665 0.21665 0.21665 0.21665
249853 114361 114361 114361 114361 0.216893 0.216893 0.216893 0.216893
251558 115242 115242 115242 115242 0.216227 0.216227 0.216227 0.216227
250865 114620 114620 114620 114620 0.219754 0.219754 0.219754 0.219754
250973 114601 114601 114601 114601 0.221008 0.221008 0.221008 0.221008
250691 113932 113932 113932 113932 0.225502 0.225502 0.225502 0.225502
244180 110567 110567 110567 110567 0.241981 0.241981 0.241981 0.241981
246593 111864 111864 111864 111864 0.23342 0.23342 0.23342 0.23342
247814 112900 112900 112900 112900 0.235158 0.235158 0.235158 0.235158
246929 112275 112275 112275 112275 0.234558 0.234558 0.234558 0.234558
254300 113886 113886 113886 113886 0.234279 0.234279 0.234279 0.234279
247726 112362 112362 112362 112362 0.234475 0.234475 0.234475 0.234475
249987 112844 112844 112844 112844 0.237371 0.237371 0.237371 0.237371
248562 112533 112533 112533 112533 0.235608 0.235608 0.235608 0.235608
247877 112407 112407 112407 112407 0.235517 0.235517 0.235517 0.235517
248000 112414 112414 112414 112414 0.235493 0.235493 0.235493 0.235493
248286 112514 112514 112514 112514 0.235825 0.235825 0.235825 0.235825
248322 112508 112508 112508 112508 0.236115 0.236115 0.236115 0.236115
248933 112539 112539 112539 112539 0.238946 0.238946 0.238946 0.238946
255633 114308 114308 114308 114308 0.250618 0.250618 0.250618 0.250618
284018 126919 126919 126919 126919 0.246257 0.246257 0.246257 0.246257
259756 115893 115893 115893 115893 0.254093 0.254093 0.254093 0.254093
265875 117788 117788 117788 117788 0.255595 0.255595 0.255595 0.255595
260159 115939 115939 115939 115939 0.254699 0.254699 0.254699 0.254699
259390 115497 115497 115497 115497 0.255715 0.255715 0.255715 0.255715
259947 115827 115827 115827 115827 0.25492 0.25492 0.25492 0.25492
260367 115913 115913 115913 115913 0.254552 0.254552 0.254552 0.254552
260101 115857 115857 115857 115857 0.254779 0.254779 0.254779 0.254779
260312 115925 115925 115925 115925 0.255285 0.255285 0.255285 0.255285
260291 115929 115929 115929 115929 0.255138 0.255138 0.255138 0.255138
260322 115930 115930 115930 115930 0.25521 0.25521 0.25521 0.25521
260692 115963 115963 115963 115963 0.255887 0.255887 0.255887 0.255887
260848 115903 115903 115903 115903 0.257462 0.257462 0.257462 0.257462
265317 117222 117222 117222 117222 0.261763 0.261763 0.261763 0.261763
276473 120240 120240 120240 120240 0.253349 0.253349 0.253349 0.253349
264643 116909 116909 116909 116909 0.260279 0.260279 0.260279 0.260279
266944 117378 117378 117378 117378 0.264461 0.264461 0.264461 0.264461
264537 116880 116880 116880 116880 0.260525 0.260525 0.260525 0.260525
264509 116908 116908 116908 116908 0.260067 0.260067 0.260067 0.260067
264573 116920 116920 116920 116920 0.260193 0.260193 0.260193 0.260193
265246 117057 117057 117057 117057 0.261422 0.261422 0.261422 0.261422
264638 116917 116917 116917 116917 0.260587 0.260587 0.260587 0.260587
264769 116945 116945 116945 116945 0.261291 0.261291 0.261291 0.261291
264137 116795 116795 116795 116795 0.260945 0.260945 0.260945 0.260945
265135 116699 116699 116699 116699 0.264517 0.264517 0.264517 0.264517
264304 116704 116704 116704 116704 0.262144 0.262144 0.262144 0.262144
268497 118346 118346 118346 118346 0.261271 0.261271 0.261271 0.261271
264453 116759 116759 116759 116759 0.262215 0.262215 0.262215 0.262215
264192 116639 116639 116639 116639 0.26241 0.26241 0.26241 0.26241
264064 116595 116595 116595 116595 0.262474 0.262474 0.262474 0.262474
262844 116190 116190 116190 116190 0.263072 0.263072 0.263072 0.263072
260755 115346 115346 115346 115346 0.264613 0.264613 0.264613 0.264613
269797 117806 117806 117806 117806 0.272518 0.272518 0.272518 0.272518
262158 115441 115441 115441 115441 0.268272 0.268272 0.268272 0.268272
260814 115337 115337 115337 115337 0.264877 0.264877 0.264877 0.264877
260780 115341 115341 115341 115341 0.264728 0.264728 0.264728 0.264728
260741 115334 115334 115334 115334 0.26468 0.26468 0.26468 0.26468
260369 115259 115259 115259 115259 0.264185 0.264185 0.264185 0.264185
259740 115147 115147 115147 115147 0.26329 0.26329 0.26329 0.26329
257728 114365 114365 114365 114365 0.26318 0.26318 0.26318 0.26318
259539 115068 115068 115068 115068 0.263286 0.263286 0.263286 0.263286
259435 115034 115034 115034 115034 0.263237 0.263237 0.263237 0.263237
259435 115034 115034 115034 115034 0.263237 0.263237 0.263237 0.263237
259435 115034 115034 115034 115034 0.263237 0.263237 0.263237 0.263237
259435 115034 115034 115034 115034 0.263237 0.263237 0.263237 0.263237
259435 115034 115034 115034 115034 0.263237 0.263237 0.263237 0.263237
259435 115034 115034 115034 115034 0.263236 0.263236 0.263236 0.263236
259437 115035 115035 115035 115035 0.263234 0.263234 0.263234 0.263234
259456 115045 115045 115045 115045 0.26321 0.26321 0.26321 0.26321
259646 115143 115143 115143 115143 0.262974 0.262974 0.262974 0.262974
261545 116119 116119 116119 116119 0.26061 0.26061 0.26061 0.26061
327808 130982 130982 130982 130982 0.307193 0.307193 0.307193 0.307193
1.61167e+06 350630 350630 350630 350630 0.665563 0.665563 0.665563 0.665563
1.82808e+07 1.71736e+06 1.71736e+06 1.71736e+06 1.71736e+06 1.40591 1.40591 1.40591 1.40591
4.45569e+07 1.18512e+06 1.18512e+06 1.18512e+06 1.18512e+06 3.06298 3.06298 3.06298 3.06298
4.01615e+07 1.04531e+06 1.04531e+06 1.04531e+06 1.04531e+06 3.11406 3.11406 3.11406 3.11406
1.241e+07 273860 273860 273860 273860 3.50561 3.50561 3.50561 3.50561
7.52055e+06 238875 238875 238875 238875 4.07497 4.07497 4.07497 4.07497
1.02973e+07 195133 195133 195133 195133 3.87987 3.87987 3.87987 3.87987
7.40619e+06 126553 126553 126553 126553 4.13072 4.13072 4.13072 4.13072
5.7991e+06 98706.2 98706.2 98706.2 98706.2 4.15856 4.15856 4.15856 4.15856
4.58086e+06 78467.3 78467.3 78467.3 78467.3 4.15594 4.15594 4.15594 4.15594
3.14758e+06 58044.3 58044.3 58044.3 58044.3 4.1378 4.1378 4.1378 4.1378
3.88221e+06 67959.7 67959.7 67959.7 67959.7 4.15058 4.15058 4.15058 4.15058
2.52997e+06 45765.9 45765.9 45765.9 45765.9 4.1415 4.1415 4.1415 4.1415
3.04765e+06 54233.8 54233.8 54233.8 54233.8 4.14603 4.14603 4.14603 4.14603
1.74475e+06 32498.1 32498.1 32498.1 32498.1 4.13127 4.13127 4.13127 4.13127
351795 9181.43 9181.43 9181.43 9181.43 3.99741 3.99741 3.99741 3.99741
13835.5 4178.15 4178.15 4178.15 4178.15 1.28718 1.28718 1.28718 1.28718
7446.89 3369.4 3369.4 3369.4 3369.4 0.433449 0.433449 0.433449 0.433449
3691.82 1762.94 1762.94 1762.94 1762.94 0.451942 0.451942 0.451942 0.451942
5118.37 2405.56 2405.56 2405.56 2405.56 0.406916 0.406916 0.406916 0.406916
6010.58 2952.25 2952.25 2952.25 2952.25 0.333725 0.333725 0.333725 0.333725
4943.12 2408.49 2408.49 2408.49 2408.49 0.30278 0.30278 0.30278 0.30278
5334.24 2606.93 2606.93 2606.93 2606.93 0.326177 0.326177 0.326177 0.326177
6457.98 3180.43 3180.43 3180.43 3180.43 0.257465 0.257465 0.257465 0.257465
6539.43 3232.43 3232.43 3232.43 3232.43 0.255169 0.255169 0.255169 0.255169
6419.25 3164.36 3164.36 3164.36 3164.36 0.273222 0.273222 0.273222 0.273222
7007.09 3414.26 3414.26 3414.26 3414.26 0.255974 0.255974 0.255974 0.255974
