Bcru_last CTP1 CTP2 CTP3 CTP4 BDp1/BDlast BDp2/BDlast BDp3/BDlast BDp4/BDlast 
139.787 0.00474836 0.00474836 0.00474836 0.00474836 0.123225 0.123225 0.123225 0.123225
139.787 0.00474836 0.00474836 0.00474836 0.00474836 0.123225 0.123225 0.123225 0.123225
139.788 0.00474838 0.00474838 0.00474838 0.00474838 0.123225 0.123225 0.123225 0.123225
139.794 0.00474858 0.00474858 0.00474858 0.00474858 0.123225 0.123225 0.123225 0.123225
139.853 0.0047506 0.0047506 0.0047506 0.0047506 0.123225 0.123225 0.123225 0.123225
140.447 0.00477077 0.00477077 0.00477077 0.00477077 0.123225 0.123225 0.123225 0.123225
146.526 0.00497727 0.00497727 0.00497727 0.00497727 0.123225 0.123225 0.123225 0.123225
223.843 0.00760359 0.00760359 0.00760359 0.00760359 0.123225 0.123225 0.123225 0.123225
591.406 0.0200891 0.0200891 0.0200891 0.0200891 0.123225 0.123225 0.123225 0.123225
4780.14 0.162374 0.162374 0.162374 0.162374 0.123225 0.123225 0.123225 0.123225
369954 12.5668 12.5668 12.5668 12.5668 0.123225 0.123225 0.123225 0.123225
369954 12.5668 12.5668 12.5668 12.5668 0.123225 0.123225 0.123225 0.123225
369954 12.5668 12.5668 12.5668 12.5668 0.123225 0.123225 0.123225 0.123225
369954 12.5668 12.5668 12.5668 12.5668 0.123225 0.123225 0.123225 0.123225
369953 12.5669 12.5669 12.5669 12.5669 0.123225 0.123225 0.123225 0.123225
369942 12.5675 12.5675 12.5675 12.5675 0.123228 0.123228 0.123228 0.123228
369834 12.5742 12.5742 12.5742 12.5742 0.123264 0.123264 0.123264 0.123264
368749 12.6407 12.6407 12.6407 12.6407 0.123621 0.123621 0.123621 0.123621
358170 13.3334 13.3334 13.3334 13.3334 0.127212 0.127212 0.127212 0.127212
275591 23.9708 23.9708 23.9708 23.9708 0.164225 0.164225 0.164225 0.164225
866327 1590.26 1590.26 1590.26 1590.26 0.025422 0.025422 0.025422 0.025422
3.53735e+06 33107.2 33107.2 33107.2 33107.2 0.00237988 0.00237988 0.00237988 0.00237988
3.64078e+06 20120.2 20120.2 20120.2 20120.2 0.000338154 0.000338154 0.000338154 0.000338154
533466 1364.38 1364.38 1364.38 1364.38 0.000130257 0.000130257 0.000130257 0.000130257
2.60803e+06 8211.18 8211.18 8211.18 8211.18 0.000326033 0.000326033 0.000326033 0.000326033
