Bcru_last CTP1 CTP2 CTP3 CTP4 BDp1/BDlast BDp2/BDlast BDp3/BDlast BDp4/BDlast 
133.055 51.0438 51.0438 51.0438 51.0438 0.380191 0.380191 0.380191 0.380191
133.055 51.0438 51.0438 51.0438 51.0438 0.380191 0.380191 0.380191 0.380191
133.055 51.0441 51.0441 51.0441 51.0441 0.380191 0.380191 0.380191 0.380191
133.062 51.0466 51.0466 51.0466 51.0466 0.380191 0.380191 0.380191 0.380191
133.127 51.0715 51.0715 51.0715 51.0715 0.380191 0.380191 0.380191 0.380191
133.778 51.3215 51.3215 51.3215 51.3215 0.380191 0.380191 0.380191 0.380191
140.472 53.8895 53.8895 53.8895 53.8895 0.380191 0.380191 0.380191 0.380191
228.897 87.8121 87.8121 87.8121 87.8121 0.380191 0.380191 0.380191 0.380191
703.807 270.002 270.002 270.002 270.002 0.380191 0.380191 0.380191 0.380191
8059.95 3092.04 3092.04 3092.04 3092.04 0.380191 0.380191 0.380191 0.380191
507877 194837 194837 194837 194837 0.380191 0.380191 0.380191 0.380191
507877 194837 194837 194837 194837 0.380191 0.380191 0.380191 0.380191
507877 194837 194837 194837 194837 0.380191 0.380191 0.380191 0.380191
507877 194837 194837 194837 194837 0.380191 0.380191 0.380191 0.380191
507873 194835 194835 194835 194835 0.380194 0.380194 0.380194 0.380194
507841 194814 194814 194814 194814 0.380222 0.380222 0.380222 0.380222
507524 194604 194604 194604 194604 0.380497 0.380497 0.380497 0.380497
505017 192840 192840 192840 192840 0.382671 0.382671 0.382671 0.382671
504230 190744 190744 190744 190744 0.382761 0.382761 0.382761 0.382761
636065 247802 247802 247802 247802 0.288214 0.288214 0.288214 0.288214
557118 212365 212365 212365 212365 0.338074 0.338074 0.338074 0.338074
644513 211045 211045 211045 211045 0.290048 0.290048 0.290048 0.290048
582182 210796 210796 210796 210796 0.321058 0.321058 0.321058 0.321058
630098 200964 200964 200964 200964 0.292994 0.292994 0.292994 0.292994
636064 168483 168483 168483 168483 0.291323 0.291323 0.291323 0.291323
677621 149057 149057 149057 149057 0.280156 0.280156 0.280156 0.280156
667615 131694 131694 131694 131694 0.278606 0.278606 0.278606 0.278606
674217 135217 135217 135217 135217 0.253201 0.253201 0.253201 0.253201
587535 119111 119111 119111 119111 0.265504 0.265504 0.265504 0.265504
532988 114493 114493 114493 114493 0.267937 0.267937 0.267937 0.267937
433331 115333 115333 115333 115333 0.271504 0.271504 0.271504 0.271504
378314 119107 119107 119107 119107 0.266257 0.266257 0.266257 0.266257
345358 121936 121936 121936 121936 0.261418 0.261418 0.261418 0.261418
312407 121727 121727 121727 121727 0.257883 0.257883 0.257883 0.257883
281155 116072 116072 116072 116072 0.264416 0.264416 0.264416 0.264416
266756 118876 118876 118876 118876 0.249455 0.249455 0.249455 0.249455
273313 116752 116752 116752 116752 0.259897 0.259897 0.259897 0.259897
268128 118011 118011 118011 118011 0.253815 0.253815 0.253815 0.253815
270169 122506 122506 122506 122506 0.241293 0.241293 0.241293 0.241293
268172 119183 119183 119183 119183 0.250383 0.250383 0.250383 0.250383
266356 119303 119303 119303 119303 0.248852 0.248852 0.248852 0.248852
257550 114965 114965 114965 114965 0.254096 0.254096 0.254096 0.254096
263280 117786 117786 117786 117786 0.250716 0.250716 0.250716 0.250716
263779 117592 117592 117592 117592 0.250036 0.250036 0.250036 0.250036
264566 117760 117760 117760 117760 0.24937 0.24937 0.24937 0.24937
265893 117902 117902 117902 117902 0.248708 0.248708 0.248708 0.248708
266789 117868 117868 117868 117868 0.24849 0.24849 0.24849 0.24849
267320 117925 117925 117925 117925 0.24827 0.24827 0.24827 0.24827
267506 117959 117959 117959 117959 0.248231 0.248231 0.248231 0.248231
266848 117799 117799 117799 117799 0.24878 0.24878 0.24878 0.24878
266167 117778 117778 117778 117778 0.249404 0.249404 0.249404 0.249404
261161 118053 118053 118053 118053 0.254541 0.254541 0.254541 0.254541
256530 116868 116868 116868 116868 0.261716 0.261716 0.261716 0.261716
254742 116237 116237 116237 116237 0.271655 0.271655 0.271655 0.271655
257149 115498 115498 115498 115498 0.288053 0.288053 0.288053 0.288053
331346 122292 122292 122292 122292 0.278108 0.278108 0.278108 0.278108
274650 115802 115802 115802 115802 0.292355 0.292355 0.292355 0.292355
342513 118774 118774 118774 118774 0.280552 0.280552 0.280552 0.280552
285936 116038 116038 116038 116038 0.292178 0.292178 0.292178 0.292178
279580 113660 113660 113660 113660 0.301285 0.301285 0.301285 0.301285
284434 115482 115482 115482 115482 0.294188 0.294188 0.294188 0.294188
287012 115823 115823 115823 115823 0.293304 0.293304 0.293304 0.293304
285660 115639 115639 115639 115639 0.293785 0.293785 0.293785 0.293785
285665 115496 115496 115496 115496 0.294334 0.294334 0.294334 0.294334
285379 115576 115576 115576 115576 0.294643 0.294643 0.294643 0.294643
284835 115689 115689 115689 115689 0.295123 0.295123 0.295123 0.295123
280954 117027 117027 117027 117027 0.299078 0.299078 0.299078 0.299078
277829 117698 117698 117698 117698 0.307947 0.307947 0.307947 0.307947
277245 118537 118537 118537 118537 0.322382 0.322382 0.322382 0.322382
299410 127412 127412 127412 127412 0.326234 0.326234 0.326234 0.326234
280797 119903 119903 119903 119903 0.32906 0.32906 0.32906 0.32906
