Bcru_last CTP1 CTP2 CTP3 CTP4 BDp1/BDlast BDp2/BDlast BDp3/BDlast BDp4/BDlast 
143.35 19.5332 19.5332 19.5332 19.5332 0.603472 0.603472 0.603472 0.603472
143.35 19.5332 19.5332 19.5332 19.5332 0.603472 0.603472 0.603472 0.603472
143.351 19.5333 19.5333 19.5333 19.5333 0.603472 0.603472 0.603472 0.603472
143.358 19.5343 19.5343 19.5343 19.5343 0.603472 0.603472 0.603472 0.603472
143.433 19.5445 19.5445 19.5445 19.5445 0.603472 0.603472 0.603472 0.603472
144.182 19.6466 19.6466 19.6466 19.6466 0.603472 0.603472 0.603472 0.603472
151.89 20.6969 20.6969 20.6969 20.6969 0.603472 0.603472 0.603472 0.603472
255.692 34.8413 34.8413 34.8413 34.8413 0.603472 0.603472 0.603472 0.603472
849.905 115.81 115.81 115.81 115.81 0.603472 0.603472 0.603472 0.603472
11744.6 1600.34 1600.34 1600.34 1600.34 0.603472 0.603472 0.603472 0.603472
537158 73194.6 73194.6 73194.6 73194.6 0.603472 0.603472 0.603472 0.603472
537158 73194.6 73194.6 73194.6 73194.6 0.603472 0.603472 0.603472 0.603472
537158 73194.6 73194.6 73194.6 73194.6 0.603472 0.603472 0.603472 0.603472
537159 73194.7 73194.7 73194.7 73194.7 0.603471 0.603471 0.603471 0.603471
537166 73196.3 73196.3 73196.3 73196.3 0.60346 0.60346 0.60346 0.60346
537233 73212.5 73212.5 73212.5 73212.5 0.603351 0.603351 0.603351 0.603351
537916 73375.6 73375.6 73375.6 73375.6 0.602243 0.602243 0.602243 0.602243
545676 75170.9 75170.9 75170.9 75170.9 0.590182 0.590182 0.590182 0.590182
556208 78382 78382 78382 78382 0.56896 0.56896 0.56896 0.56896
869926 134888 134888 134888 134888 0.33205 0.33205 0.33205 0.33205
672390 99560 99560 99560 99560 0.448284 0.448284 0.448284 0.448284
782380 116545 116545 116545 116545 0.353198 0.353198 0.353198 0.353198
714236 105794 105794 105794 105794 0.405438 0.405438 0.405438 0.405438
701231 103939 103939 103939 103939 0.359043 0.359043 0.359043 0.359043
708487 104963 104963 104963 104963 0.392031 0.392031 0.392031 0.392031
654767 97134.2 97134.2 97134.2 97134.2 0.393075 0.393075 0.393075 0.393075
645845 95878.5 95878.5 95878.5 95878.5 0.393805 0.393805 0.393805 0.393805
570888 85464.9 85464.9 85464.9 85464.9 0.395302 0.395302 0.395302 0.395302
485911 76397.8 76397.8 76397.8 76397.8 0.388215 0.388215 0.388215 0.388215
460443 77749.1 77749.1 77749.1 77749.1 0.343268 0.343268 0.343268 0.343268
414597 72693.1 72693.1 72693.1 72693.1 0.332661 0.332661 0.332661 0.332661
403957 72329.6 72329.6 72329.6 72329.6 0.302006 0.302006 0.302006 0.302006
405435 72697.5 72697.5 72697.5 72697.5 0.268413 0.268413 0.268413 0.268413
387698 69599.6 69599.6 69599.6 69599.6 0.270672 0.270672 0.270672 0.270672
396255 71313 71313 71313 71313 0.250891 0.250891 0.250891 0.250891
396481 71352.9 71352.9 71352.9 71352.9 0.250531 0.250531 0.250531 0.250531
398935 71787.4 71787.4 71787.4 71787.4 0.246846 0.246846 0.246846 0.246846
396136 71317.7 71317.7 71317.7 71317.7 0.24353 0.24353 0.24353 0.24353
406835 73379.9 73379.9 73379.9 73379.9 0.229297 0.229297 0.229297 0.229297
382580 68728 68728 68728 68728 0.232429 0.232429 0.232429 0.232429
387978 69825.4 69825.4 69825.4 69825.4 0.226467 0.226467 0.226467 0.226467
385524 69430.9 69430.9 69430.9 69430.9 0.222383 0.222383 0.222383 0.222383
381836 68706.8 68706.8 68706.8 68706.8 0.217522 0.217522 0.217522 0.217522
383067 68950.2 68950.2 68950.2 68950.2 0.214245 0.214245 0.214245 0.214245
390632 70341.3 70341.3 70341.3 70341.3 0.208884 0.208884 0.208884 0.208884
385476 69390.5 69390.5 69390.5 69390.5 0.212437 0.212437 0.212437 0.212437
389813 70135.9 70135.9 70135.9 70135.9 0.209885 0.209885 0.209885 0.209885
389462 70027.6 70027.6 70027.6 70027.6 0.210024 0.210024 0.210024 0.210024
389610 70042.1 70042.1 70042.1 70042.1 0.209901 0.209901 0.209901 0.209901
390059 70144.6 70144.6 70144.6 70144.6 0.209797 0.209797 0.209797 0.209797
389973 70137.9 70137.9 70137.9 70137.9 0.210194 0.210194 0.210194 0.210194
388578 69860.2 69860.2 69860.2 69860.2 0.211476 0.211476 0.211476 0.211476
388649 69853.2 69853.2 69853.2 69853.2 0.212396 0.212396 0.212396 0.212396
393707 70502.1 70502.1 70502.1 70502.1 0.219445 0.219445 0.219445 0.219445
395192 70552.1 70552.1 70552.1 70552.1 0.229329 0.229329 0.229329 0.229329
399246 71011.8 71011.8 71011.8 71011.8 0.244666 0.244666 0.244666 0.244666
406996 71908.4 71908.4 71908.4 71908.4 0.274609 0.274609 0.274609 0.274609
471445 82041 82041 82041 82041 0.269274 0.269274 0.269274 0.269274
420240 73909.3 73909.3 73909.3 73909.3 0.27717 0.27717 0.27717 0.27717
423027 72284.1 72284.1 72284.1 72284.1 0.289069 0.289069 0.289069 0.289069
415339 72945.7 72945.7 72945.7 72945.7 0.281856 0.281856 0.281856 0.281856
419286 73565.5 73565.5 73565.5 73565.5 0.280472 0.280472 0.280472 0.280472
415858 73045.8 73045.8 73045.8 73045.8 0.281698 0.281698 0.281698 0.281698
417424 73353 73353 73353 73353 0.280825 0.280825 0.280825 0.280825
416560 73184.3 73184.3 73184.3 73184.3 0.28131 0.28131 0.28131 0.28131
416581 73185 73185 73185 73185 0.281455 0.281455 0.281455 0.281455
417040 73234.7 73234.7 73234.7 73234.7 0.28149 0.28149 0.28149 0.28149
417358 73298.1 73298.1 73298.1 73298.1 0.281674 0.281674 0.281674 0.281674
417740 73356.1 73356.1 73356.1 73356.1 0.282172 0.282172 0.282172 0.282172
423008 74175.6 74175.6 74175.6 74175.6 0.28627 0.28627 0.28627 0.28627
424797 74338.5 74338.5 74338.5 74338.5 0.295594 0.295594 0.295594 0.295594
425537 74046.8 74046.8 74046.8 74046.8 0.312334 0.312334 0.312334 0.312334
451858 78648 78648 78648 78648 0.3078 0.3078 0.3078 0.3078
430742 74926.4 74926.4 74926.4 74926.4 0.313183 0.313183 0.313183 0.313183
437373 76218.8 76218.8 76218.8 76218.8 0.313526 0.313526 0.313526 0.313526
431687 75130.4 75130.4 75130.4 75130.4 0.313706 0.313706 0.313706 0.313706
434701 75673.8 75673.8 75673.8 75673.8 0.312289 0.312289 0.312289 0.312289
432195 75224 75224 75224 75224 0.313495 0.313495 0.313495 0.313495
432637 75327.9 75327.9 75327.9 75327.9 0.313284 0.313284 0.313284 0.313284
432759 75349.3 75349.3 75349.3 75349.3 0.313334 0.313334 0.313334 0.313334
432821 75354.5 75354.5 75354.5 75354.5 0.313571 0.313571 0.313571 0.313571
433553 75424.4 75424.4 75424.4 75424.4 0.315884 0.315884 0.315884 0.315884
435608 75936.3 75936.3 75936.3 75936.3 0.318759 0.318759 0.318759 0.318759
453325 78472.5 78472.5 78472.5 78472.5 0.317564 0.317564 0.317564 0.317564
448275 78435.7 78435.7 78435.7 78435.7 0.322291 0.322291 0.322291 0.322291
452148 78416.9 78416.9 78416.9 78416.9 0.318442 0.318442 0.318442 0.318442
452614 78462.2 78462.2 78462.2 78462.2 0.318406 0.318406 0.318406 0.318406
452243 78428.3 78428.3 78428.3 78428.3 0.318472 0.318472 0.318472 0.318472
452644 78497.1 78497.1 78497.1 78497.1 0.318236 0.318236 0.318236 0.318236
452413 78476.6 78476.6 78476.6 78476.6 0.318395 0.318395 0.318395 0.318395
450215 78286.3 78286.3 78286.3 78286.3 0.319923 0.319923 0.319923 0.319923
446847 77956.8 77956.8 77956.8 77956.8 0.322542 0.322542 0.322542 0.322542
449362 78977.9 78977.9 78977.9 78977.9 0.322846 0.322846 0.322846 0.322846
446461 78153.3 78153.3 78153.3 78153.3 0.323524 0.323524 0.323524 0.323524
446660 77972 77972 77972 77972 0.322783 0.322783 0.322783 0.322783
447242 78066.3 78066.3 78066.3 78066.3 0.322539 0.322539 0.322539 0.322539
447049 78047.5 78047.5 78047.5 78047.5 0.322762 0.322762 0.322762 0.322762
445235 77876.1 77876.1 77876.1 77876.1 0.324926 0.324926 0.324926 0.324926
439355 77059.2 77059.2 77059.2 77059.2 0.330855 0.330855 0.330855 0.330855
443324 77601.6 77601.6 77601.6 77601.6 0.326752 0.326752 0.326752 0.326752
439176 76780.8 76780.8 76780.8 76780.8 0.329995 0.329995 0.329995 0.329995
441695 77280.7 77280.7 77280.7 77280.7 0.328015 0.328015 0.328015 0.328015
441373 77239.2 77239.2 77239.2 77239.2 0.328306 0.328306 0.328306 0.328306
438381 76861.5 76861.5 76861.5 76861.5 0.331078 0.331078 0.331078 0.331078
432369 76159.5 76159.5 76159.5 76159.5 0.336392 0.336392 0.336392 0.336392
423150 74907.2 74907.2 74907.2 74907.2 0.334741 0.334741 0.334741 0.334741
415395 73633.4 73633.4 73633.4 73633.4 0.330744 0.330744 0.330744 0.330744
