Bcru_last CTP1 CTP2 CTP3 CTP4 BDp1/BDlast BDp2/BDlast BDp3/BDlast BDp4/BDlast 
143.35 55.4203 55.4203 55.4203 55.4203 0.555552 0.555552 0.555552 0.555552
143.35 55.4203 55.4203 55.4203 55.4203 0.555552 0.555552 0.555552 0.555552
143.351 55.4206 55.4206 55.4206 55.4206 0.555552 0.555552 0.555552 0.555552
143.358 55.4234 55.4234 55.4234 55.4234 0.555552 0.555552 0.555552 0.555552
143.431 55.4515 55.4515 55.4515 55.4515 0.555552 0.555552 0.555552 0.555552
144.159 55.733 55.733 55.733 55.733 0.555552 0.555552 0.555552 0.555552
151.646 58.6277 58.6277 58.6277 58.6277 0.555552 0.555552 0.555552 0.555552
251.617 97.2771 97.2771 97.2771 97.2771 0.555552 0.555552 0.555552 0.555552
808.063 312.404 312.404 312.404 312.404 0.555552 0.555552 0.555552 0.555552
10288.5 3977.63 3977.63 3977.63 3977.63 0.555552 0.555552 0.555552 0.555552
517129 199926 199926 199926 199926 0.555552 0.555552 0.555552 0.555552
517129 199926 199926 199926 199926 0.555552 0.555552 0.555552 0.555552
517129 199926 199926 199926 199926 0.555552 0.555552 0.555552 0.555552
517129 199926 199926 199926 199926 0.555552 0.555552 0.555552 0.555552
517129 199927 199927 199927 199927 0.55555 0.55555 0.55555 0.55555
517132 199931 199931 199931 199931 0.555532 0.555532 0.555532 0.555532
517173 199974 199974 199974 199974 0.55534 0.55534 0.55534 0.55534
518360 200781 200781 200781 200781 0.552442 0.552442 0.552442 0.552442
516825 201400 201400 201400 201400 0.547735 0.547735 0.547735 0.547735
726935 303011 303011 303011 303011 0.357383 0.357383 0.357383 0.357383
589307 236567 236567 236567 236567 0.460692 0.460692 0.460692 0.460692
644818 250191 250191 250191 250191 0.392324 0.392324 0.392324 0.392324
613211 241863 241863 241863 241863 0.42715 0.42715 0.42715 0.42715
572579 215038 215038 215038 215038 0.404765 0.404765 0.404765 0.404765
597096 231850 231850 231850 231850 0.42108 0.42108 0.42108 0.42108
535046 204412 204412 204412 204412 0.432951 0.432951 0.432951 0.432951
500414 190433 190433 190433 190433 0.439573 0.439573 0.439573 0.439573
426761 171696 171696 171696 171696 0.453718 0.453718 0.453718 0.453718
366558 162812 162812 162812 162812 0.440059 0.440059 0.440059 0.440059
387139 165488 165488 165488 165488 0.450489 0.450489 0.450489 0.450489
365762 166058 166058 166058 166058 0.415004 0.415004 0.415004 0.415004
319396 149087 149087 149087 149087 0.417972 0.417972 0.417972 0.417972
323187 153348 153348 153348 153348 0.369997 0.369997 0.369997 0.369997
320566 152157 152157 152157 152157 0.363173 0.363173 0.363173 0.363173
327306 155330 155330 155330 155330 0.337441 0.337441 0.337441 0.337441
321785 152698 152698 152698 152698 0.354859 0.354859 0.354859 0.354859
322312 153571 153571 153571 153571 0.345708 0.345708 0.345708 0.345708
309299 146742 146742 146742 146742 0.347307 0.347307 0.347307 0.347307
310783 147337 147337 147337 147337 0.335022 0.335022 0.335022 0.335022
309500 146752 146752 146752 146752 0.327309 0.327309 0.327309 0.327309
311134 147687 147687 147687 147687 0.323453 0.323453 0.323453 0.323453
310700 147752 147752 147752 147752 0.320954 0.320954 0.320954 0.320954
310855 147680 147680 147680 147680 0.322382 0.322382 0.322382 0.322382
311836 148347 148347 148347 148347 0.320001 0.320001 0.320001 0.320001
311282 147978 147978 147978 147978 0.321285 0.321285 0.321285 0.321285
308959 146873 146873 146873 146873 0.322836 0.322836 0.322836 0.322836
309131 146919 146919 146919 146919 0.322519 0.322519 0.322519 0.322519
309351 146967 146967 146967 146967 0.322228 0.322228 0.322228 0.322228
310521 147519 147519 147519 147519 0.321181 0.321181 0.321181 0.321181
309898 147163 147163 147163 147163 0.321998 0.321998 0.321998 0.321998
309879 147155 147155 147155 147155 0.322321 0.322321 0.322321 0.322321
311080 147706 147706 147706 147706 0.324207 0.324207 0.324207 0.324207
313185 148206 148206 148206 148206 0.326513 0.326513 0.326513 0.326513
311516 147109 147109 147109 147109 0.335265 0.335265 0.335265 0.335265
309132 145012 145012 145012 145012 0.350998 0.350998 0.350998 0.350998
305509 138632 138632 138632 138632 0.378658 0.378658 0.378658 0.378658
305235 141426 141426 141426 141426 0.36419 0.36419 0.36419 0.36419
316058 144355 144355 144355 144355 0.363935 0.363935 0.363935 0.363935
306412 141810 141810 141810 141810 0.364986 0.364986 0.364986 0.364986
307089 143647 143647 143647 143647 0.363241 0.363241 0.363241 0.363241
306181 141994 141994 141994 141994 0.36506 0.36506 0.36506 0.36506
305516 141602 141602 141602 141602 0.366028 0.366028 0.366028 0.366028
305914 141842 141842 141842 141842 0.365433 0.365433 0.365433 0.365433
306872 142175 142175 142175 142175 0.364699 0.364699 0.364699 0.364699
306971 142191 142191 142191 142191 0.364753 0.364753 0.364753 0.364753
306837 142158 142158 142158 142158 0.365053 0.365053 0.365053 0.365053
