Bcru_last CTP1 CTP2 CTP3 CTP4 BDp1/BDlast BDp2/BDlast BDp3/BDlast BDp4/BDlast 
143.35 19.5332 19.5332 19.5332 19.5332 0.70841 0.70841 0.70841 0.70841
143.35 19.5333 19.5333 19.5333 19.5333 0.70841 0.70841 0.70841 0.70841
143.351 19.5333 19.5333 19.5333 19.5333 0.70841 0.70841 0.70841 0.70841
143.358 19.5343 19.5343 19.5343 19.5343 0.70841 0.70841 0.70841 0.70841
143.429 19.5439 19.5439 19.5439 19.5439 0.70841 0.70841 0.70841 0.70841
144.137 19.6405 19.6405 19.6405 19.6405 0.70841 0.70841 0.70841 0.70841
151.422 20.6331 20.6331 20.6331 20.6331 0.70841 0.70841 0.70841 0.70841
247.916 33.7817 33.7817 33.7817 33.7817 0.70841 0.70841 0.70841 0.70841
771.37 105.109 105.109 105.109 105.109 0.70841 0.70841 0.70841 0.70841
9114 1241.9 1241.9 1241.9 1241.9 0.70841 0.70841 0.70841 0.70841
496191 67612.2 67612.2 67612.2 67612.2 0.70841 0.70841 0.70841 0.70841
496191 67612.2 67612.2 67612.2 67612.2 0.70841 0.70841 0.70841 0.70841
496191 67612.2 67612.2 67612.2 67612.2 0.70841 0.70841 0.70841 0.70841
496190 67612.1 67612.1 67612.1 67612.1 0.708411 0.708411 0.708411 0.708411
496185 67611.2 67611.2 67611.2 67611.2 0.708413 0.708413 0.708413 0.708413
496136 67601.8 67601.8 67601.8 67601.8 0.708435 0.708435 0.708435 0.708435
495656 67509.6 67509.6 67509.6 67509.6 0.708647 0.708647 0.708647 0.708647
491557 66717 66717 66717 66717 0.709982 0.709982 0.709982 0.709982
487633 66271.4 66271.4 66271.4 66271.4 0.708193 0.708193 0.708193 0.708193
620619 89335.2 89335.2 89335.2 89335.2 0.584373 0.584373 0.584373 0.584373
534131 74236 74236 74236 74236 0.657346 0.657346 0.657346 0.657346
573689 73577.3 73577.3 73577.3 73577.3 0.728431 0.728431 0.728431 0.728431
551937 73554.1 73554.1 73554.1 73554.1 0.694344 0.694344 0.694344 0.694344
516575 62526 62526 62526 62526 0.789139 0.789139 0.789139 0.789139
536443 69300 69300 69300 69300 0.724577 0.724577 0.724577 0.724577
476506 59709.4 59709.4 59709.4 59709.4 0.761162 0.761162 0.761162 0.761162
429264 53144.6 53144.6 53144.6 53144.6 0.779196 0.779196 0.779196 0.779196
346134 47499 47499 47499 47499 0.684925 0.684925 0.684925 0.684925
280762 44718.6 44718.6 44718.6 44718.6 0.523177 0.523177 0.523177 0.523177
307477 45741.5 45741.5 45741.5 45741.5 0.599239 0.599239 0.599239 0.599239
280944 44759.5 44759.5 44759.5 44759.5 0.517762 0.517762 0.517762 0.517762
