#DATOS CAMARON NORTE CTP 2019																													
#numero_de_años																													
60																													
#numero_de_edades																													
6																													
#numero_de_tallas																													
30																											
#Años	Capt	CPUE	Crucero	ph	cv_capt	cv_CPUE	cv_Cru	cv_ph	n_mf	n_hf	n_mc	n_hc	#
1961	115	0	0	0.548	0.01	0.2	0.1	0.05	20	20	20	20	#
1962	332	0	0	0.548	0.01	0.2	0.1	0.05	20	20	20	20	#
1963	314	0	0	0.548	0.01	0.2	0.1	0.05	20	20	20	20	#
1964	728	0	0	0.548	0.01	0.2	0.1	0.05	20	20	20	20	#
1965	785	0	0	0.548	0.01	0.2	0.1	0.05	20	20	20	20	#
1966	851	0	0	0.548	0.01	0.2	0.1	0.05	20	20	20	20	#
1967	801	0	0	0.548	0.01	0.2	0.1	0.05	20	20	20	20	#
1968	822	0	0	0.548	0.01	0.2	0.1	0.05	20	20	20	20	#
1969	1125	160.0	0	0.548	0.01	0.2	0.1	0.05	20	20	20	20	#
1970	1453	145.6	0	0.548	0.01	0.2	0.1	0.05	20	20	20	20	#
1971	281	189.0	0	0.548	0.01	0.2	0.1	0.05	20	20	20	20	#
1972	53	0.0	0	0.548	0.01	0.2	0.1	0.05	20	20	20	20	#
1973	0.001	0.0	0	0.548	0.01	0.2	0.1	0.05	20	20	20	20	#
1974	0.001	210.6	0	0.548	0.01	0.2	0.1	0.05	20	20	20	20	#
1975	139	190.1	0	0.548	0.01	0.2	0.1	0.05	20	20	20	20	#
1976	118	0.0	0	0.548	0.01	0.2	0.1	0.05	20	20	20	20	#
1977	314	0.0	0	0.548	0.01	0.2	0.1	0.05	20	20	20	20	#
1978	396	133.8	0	0.548	0.01	0.2	0.1	0.05	20	20	20	20	#
1979	65	143.2	0	0.548	0.01	0.2	0.1	0.05	20	20	20	20	#
1980	217	0.0	0	0.548	0.01	0.2	0.1	0.05	20	20	20	20	#
1981	0.001	132.6	0	0.548	0.01	0.2	0.1	0.05	20	20	20	20	#
1982	56	157.7	0	0.548	0.01	0.2	0.1	0.05	20	20	20	20	#
1983	1073	134.1	0	0.548	0.01	0.2	0.1	0.05	20	20	20	20	#
1984	1545	133.0	0	0.548	0.01	0.2	0.1	0.05	20	20	20	20	#
1985	1565	132.2	0	0.548	0.01	0.2	0.1	0.05	20	20	20	20	#
1986	1353	137.9	0	0.548	0.01	0.2	0.1	0.05	20	20	20	20	#
1987	2197	164.0	0	0.548	0.01	0.2	0.1	0.05	20	20	20	20	#
1988	2340	137.5	0	0.548	0.01	0.2	0.1	0.05	20	20	20	20	#
1989	2537	111.2	0	0.548	0.01	0.2	0.1	0.05	20	20	20	20	#
1990	2469	130.1	0	0.548	0.01	0.2	0.1	0.05	20	20	20	20	#
1991	3158	144.7	0	0.548	0.01	0.2	0.1	0.05	20	20	20	20	#
1992	3764	126.7	0	0.548	0.01	0.2	0.1	0.05	20	20	20	20	#
1993	4061	138.1	0	0.548	0.01	0.2	0.1	0.05	20	20	20	20	#
1994	4382	148.6	0	0.625	0.01	0.2	0.1	0.05	20	20	20	20	#
1995	4358	157.5	0	0.546	0.01	0.2	0.1	0.05	20	20	20	20	#
1996	4372	165.8	0	0.582	0.01	0.2	0.1	0.05	20	20	20	20	#
1997	5180	180.3	0	0.554	0.01	0.2	0.1	0.05	20	20	20	20	#
1998	3572	150.8	0	0.513	0.01	0.2	0.1	0.05	20	20	20	20	#
1999	5492	133.1	19996	0.544	0.01	0.2	0.1	0.05	20	20	20	20	#
2000	4345	128.2	20361	0.5	0.01	0.2	0.1	0.05	20	20	20	20	#
2001	3592	129.1	16351	0.603	0.01	0.2	0.1	0.05	20	20	20	20	#
2002	2917	130.6	9908	0.572	0.01	0.2	0.1	0.05	20	20	20	20	#
2003	1883	134.5	10614	0.556	0.01	0.2	0.1	0.05	20	20	20	20	#
2004	1980	147.9	13264	0.516	0.01	0.2	0.1	0.05	20	20	20	20	#
2005	1426	157.3	13179	0.547	0.01	0.2	0.1	0.05	20	20	20	20	#
2006	1340	175.5	17625	0.554	0.01	0.2	0.1	0.05	20	20	20	20	#
2007	1284	195.1	0	0.536	0.01	0.2	0.1	0.05	20	20	20	20	#
2008	1501	197.1	12963	0.582	0.01	0.2	0.1	0.05	20	20	20	20	#
2009	1607	211.6	10340	0.582	0.01	0.2	0.1	0.05	20	20	20	20	#
2010	1307	200.6	0	0.502	0.01	0.2	0.1	0.05	20	20	20	20	#
2011	1302	211.4	11533	0.552	0.01	0.2	0.1	0.05	20	20	20	20	#
2012	1137	204.5	10162	0.513	0.01	0.2	0.1	0.05	20	20	20	20	#
2013	1078	197.4	10674	0.55	0.01	0.2	0.1	0.05	20	20	20	20	#
2014	821	165.0	7978.7	0.551	0.01	0.2	0.1	0.05	20	20	20	20	#
2015	848	168.8	11386.8	0.555	0.01	0.2	0.1	0.05	20	20	20	20	#
2016	874	157.8	9552	0.581	0.01	0.2	0.1	0.05	20	20	20	20	#
2017	1136	195.8	12293	0.556	0.01	0.2	0.1	0.05	20	20	20	20	#
2018	877	188.4	9569	0.57	0.01	0.2	0.1	0.05	20	20	20	20	#
2019	817	155.8	12949	0.53	0.01	0.2	0.1	0.05	20	20	20	20	#
2020	800	162.4	0	0.51	0.01	0.2	0.1	0.05	20	20	20	20	#
#grupos_de_edades																													
1	2	3	4	5	6																								
#grupos_de_Tallas																													
10.5	11.5	12.5	13.5	14.5	15.5	16.5	17.5	18.5	19.5	20.5	21.5	22.5	23.5	24.5	25.5	26.5	27.5	28.5	29.5	30.5	31.5	32.5	33.5	34.5	35.5	36.5	37.5	38.5	39.5
# Machos Flota																											
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0.001688239	0.006752954	0.01181767	0.029262802	0.055711874	0.091727631	0.120990433	0.164321891	0.144063028	0.148564997	0.109735509	0.057400113	0.038266742	0.015756894	0.003376477	0.000562746	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0.001702128	0.003404255	0.008510638	0.015319149	0.046808511	0.086808511	0.106382979	0.16	0.158297872	0.187234043	0.125106383	0.049361702	0.04	0.01106383	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0.002169197	0.010845987	0.039045553	0.086767896	0.136659436	0.117136659	0.151843818	0.15835141	0.114967462	0.101952278	0.047722343	0.023861171	0.006507592	0.002169197	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0.003401361	0	0	0.006802721	0.013605442	0.040816327	0.074829932	0.132653061	0.166666667	0.153061224	0.095238095	0.105442177	0.105442177	0.074829932	0.013605442	0.006802721	0.006802721	0	0	0	0	0	0	0	0
0	0.000357782	0.000178891	0	0.000357782	0.001073345	0.001073345	0.003935599	0.011449016	0.024865832	0.040250447	0.08372093	0.128443649	0.149552773	0.18157424	0.157602862	0.101431127	0.056529517	0.035420394	0.014847943	0.004651163	0.001431127	0.000357782	0	0.000357782	0.000178891	0.000357782	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0.000611658	0	0.001115817	0.001834975	0.007643114	0.020818956	0.017945152	0.034590429	0.065436597	0.082141267	0.151098331	0.191136065	0.169678076	0.116249313	0.064554296	0.036379788	0.017303718	0.009125967	0.004050613	0.004494362	0.002813241	0.000978265	0	0	0	0	0	0
0	0	0	0.000747875	0.002065448	0.003180711	0.011619263	0.019558357	0.0316901	0.047690576	0.068266505	0.093057894	0.127201882	0.16373883	0.154549231	0.105844779	0.076366538	0.048133247	0.025176781	0.012651277	0.005226803	0.002758848	0.000223146	0.000251908	0	0	0	0	0	0
0	0	0	0.000116385	0.000140428	0.000651659	0.001704572	0.004490382	0.00973562	0.025490257	0.051090415	0.102802381	0.13684556	0.168474863	0.163598619	0.124736026	0.083716946	0.050995656	0.031247159	0.01804417	0.011310022	0.007911969	0.003274412	0.001878653	0.000730854	0.000371217	0.000246609	0.000119747	0.000251469	2.39E-05
0	0	0	0	0	0.000523805	0.003203847	0.005047002	0.009353052	0.01697077	0.045114943	0.083648099	0.13528585	0.182938976	0.179546234	0.142944904	0.08041012	0.049446928	0.027542859	0.020534481	0.007492344	0.003714796	0.001530507	0	0	0	0	0	0	0
0.00001936	0	0.00020713	0.00098644	0.00248868	0.00440488	0.0107551	0.01736781	0.03401626	0.05567308	0.07726821	0.11099307	0.13573516	0.16511598	0.14159669	0.1131381	0.06843991	0.03523699	0.01658811	0.00770175	0.00200831	0.00010525	0.00015373	0	0	0	0	0	0	0
0	0	0	0.00006366	0.00023448	0.00011706	0.00062415	0.00284187	0.00966058	0.02814154	0.0637383	0.105765	0.1465575	0.17332062	0.17569498	0.1312809	0.08961622	0.04324811	0.02022604	0.00755421	0.00103647	0.00015109	0.00012721	0	0	0	0	0	0	0
0	0	0	0	0.00023487	0.00102261	0.00330702	0.01104186	0.03326145	0.05611967	0.09102649	0.11515791	0.13207394	0.1320021	0.11465883	0.09695973	0.07823002	0.06013362	0.04144513	0.0235133	0.00852128	0.00096332	0.00025288	0.00007397	0	0	0	0	0	0
0	0	0	0	0.00029007	0.00185294	0.00393838	0.01268869	0.02728577	0.04784516	0.07697824	0.1089325	0.14391754	0.16888556	0.15100555	0.10901866	0.07586346	0.03935574	0.0196531	0.00964795	0.00260065	0.00024005	0	0	0	0	0	0	0	0
0	0	0	0.00049324	0.00129028	0.0034883	0.01057371	0.01814734	0.03532624	0.06421891	0.09347997	0.12053654	0.13157898	0.12878484	0.11622592	0.10034258	0.0722522	0.04798373	0.03058098	0.01606248	0.00553155	0.00157457	0.00097431	0.00055332	0	0	0	0	0	0
0	0	0	0.00021867	0.0022643	0.00764565	0.01879273	0.03288589	0.06293808	0.08221435	0.11070368	0.14500206	0.13772171	0.13024088	0.09613697	0.06815307	0.04263981	0.0266111	0.01650629	0.01048776	0.00499434	0.00296237	0.00084433	0.00003596	0	0	0	0	0	0
0	0	0.00004956	0.00018085	0.00101563	0.00399123	0.01057245	0.02084177	0.03759418	0.06743469	0.1230815	0.16979114	0.18526429	0.14402277	0.10012953	0.06263465	0.04056797	0.01933436	0.00899935	0.00314882	0.00122663	0.00011863	0	0	0	0	0	0	0	0
0.00009936	0.00006933	0.00025549	0.00060651	0.00370584	0.0107667	0.01751414	0.02990922	0.05055315	0.07519302	0.12159126	0.15931447	0.17522717	0.15346047	0.10144079	0.05953216	0.02632391	0.00926594	0.00429153	0.00052708	0.0002822	0.00001446	0.00000452	0	0	0	0	0	0.00001156	0
0	0	0.00012464	0.00058906	0.00132427	0.00430546	0.01388069	0.0232087	0.0427044	0.0681694	0.10189014	0.14038251	0.15864644	0.14375689	0.12375376	0.08307276	0.0541387	0.02454217	0.00973209	0.00425062	0.001138	0.00020779	0.00010753	0	0.00007398	0	0	0	0	0
0.00003108	0.00005551	0.00027338	0.00092566	0.0014954	0.00217524	0.00419349	0.00974603	0.01855574	0.04094815	0.06107338	0.10977814	0.16307624	0.19061732	0.15818893	0.11284516	0.06819833	0.03680495	0.01488269	0.00461437	0.00128704	0.00016963	0.00006413	0	0	0	0	0	0	0
0	0	0.00023159	0.0001763	0.00083743	0.00367749	0.00369538	0.00849794	0.02161851	0.04589708	0.09183181	0.11779877	0.13745517	0.1564211	0.15281069	0.12003652	0.07485156	0.04104939	0.01680689	0.00504345	0.00119091	0.00007202	0	0	0	0	0	0	0	0
0	0	0.00008109	0	0.00039794	0.00063261	0.0041711	0.00463052	0.01528601	0.02463817	0.04618176	0.08125875	0.13036158	0.17345467	0.18731964	0.13708908	0.09978139	0.04943791	0.02893903	0.01074287	0.00400289	0.00151355	0.00007946	0	0	0	0	0	0	0
0	0	0	0	0	0.00370556	0.00321003	0.00575832	0.01567033	0.02877451	0.04989205	0.08680757	0.12200946	0.14821684	0.17612475	0.15711562	0.10517457	0.05672417	0.02561558	0.01200033	0.00270992	0.00046733	0.00002306	0	0	0	0	0	0	0
0	0	0	0	0.00079891	0.0033403	0.00612585	0.00803491	0.01020678	0.03063026	0.04414633	0.08259852	0.11741904	0.15998184	0.16242846	0.15106688	0.10050393	0.06217567	0.03833441	0.01556991	0.00482418	0.00143327	0.00038055	0	0	0	0	0	0	0
0	0	0	0.00032077	0.00025177	0.00167839	0.00379551	0.00648839	0.0149522	0.02991938	0.04709548	0.07831393	0.11717476	0.16828418	0.17250307	0.13902705	0.09672615	0.06870177	0.03844836	0.01198547	0.00311014	0.00070396	0.00045224	0	0.00006702	0	0	0	0	0
0	0	0	0	0	0.00034798	0.00281992	0.0071784	0.0120325	0.02714347	0.04532298	0.07779416	0.09192759	0.15682946	0.15174061	0.15477976	0.12152418	0.07500986	0.04313804	0.02125543	0.00571676	0.00179062	0.00018984	0.00050883	0.00054594	0.00026708	0.00017805	0.00022257	0.00031159	0.00008903
0	0	0.0004612	0	0.00019917	0.00150536	0.00476022	0.01097446	0.0228823	0.04524191	0.0704522	0.10863791	0.15339049	0.14235075	0.15607728	0.10529104	0.09368421	0.0420904	0.02769636	0.00989717	0.00300645	0.0011621	0.00011918	0.00011918	0	0	0	0	0	0
0	0	0	0	0	0	0.00175559	0.00301249	0.00536038	0.01563856	0.04645608	0.08052565	0.13132939	0.16279222	0.17951536	0.14006116	0.09886905	0.07159472	0.03489033	0.01806672	0.00587752	0.00033049	0.00195146	0.00195146	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0.01448619	0.01213517	0.04341246	0.09722523	0.18922952	0.20973012	0.16702827	0.14385962	0.08121379	0.03185802	0.00975682	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0.00077059	0.0019657	0.00863055	0.0115626	0.04829601	0.06449826	0.11481289	0.12901593	0.1379235	0.15229691	0.13299361	0.10338509	0.0650702	0.02084324	0.00630357	0.00100471	0.0003094	0.00029746	0	0	0	0	0	0
0	0	0	0	0	0.00003946	0.00083515	0.00098639	0.00817488	0.03063481	0.05419219	0.10699933	0.18133099	0.18668047	0.15330931	0.10642084	0.0780802	0.05309565	0.02682138	0.00857277	0.00268328	0.00099973	0.0001392	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0.00071664	0.00901485	0.02809062	0.04391435	0.08821738	0.22813172	0.24072737	0.16075638	0.10328489	0.05274876	0.03442413	0.00800672	0.00196619	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0.00072509	0.0019128	0.00519421	0.00600262	0.02008876	0.0340135	0.06182284	0.10235138	0.13890332	0.18744103	0.17984188	0.11961411	0.07207316	0.04770413	0.01468186	0.00499831	0.00185382	0.00077592	0	0	0	0	0	0	0
0	0	0	0	0	0.000547	0.000765	0.004128	0.007333	0.010003	0.019508	0.034219	0.060525	0.120619	0.184373	0.213792	0.163132	0.100985	0.053399	0.020478	0.004645	0.001400	0.000124	0	0	0	0	0	0	0
# Hembras Flota																											
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0.001407955	0	0.008799718	0.015135516	0.014431538	0.028511088	0.046110524	0.10876452	0.142907427	0.166490672	0.142555438	0.109820486	0.080605421	0.060542063	0.038718761	0.021471313	0.007743752	0.002111932	0	0	0	0	0	0	0
0	0	0	0.000691563	0.000691563	0.001383126	0.003457815	0.006224066	0.007607192	0.022130014	0.042876902	0.083679115	0.103042877	0.128630705	0.19571231	0.145919779	0.107883817	0.076071923	0.045643154	0.019363762	0.006915629	0.002074689	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.00E+00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0.00101626	0.00101626	0	0	0	0	0	0.00050813	0	0.00304878	0.00304878	0.013211382	0.021341463	0.048780488	0.102642276	0.140752033	0.195121951	0.175304878	0.151930894	0.084857724	0.027947154	0.013719512	0.010670732	0.00254065	0.00254065	0	0	0	0
0	0	0	0	0	0	0.001150748	0.001150748	0.00575374	0.014959724	0.02301496	0.044879171	0.058688147	0.064441887	0.087456847	0.112773303	0.093210587	0.121979287	0.119677791	0.113924051	0.049482163	0.046029919	0.024165708	0.008055236	0.004602992	0.003452244	0	0.001150748	0	0
0	0	0	0.000114233	0.000799634	0.001713502	0.00228467	0.006397076	0.011651816	0.021475897	0.042380626	0.067055061	0.095956134	0.119259767	0.120516335	0.121772904	0.11183459	0.080877313	0.056659813	0.054717843	0.037240119	0.026730637	0.010509481	0.00491204	0.00228467	0.002170436	0.000228467	0.0003427	0.000114233	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
